Ano;2018;2019;2020;2021;2022
Receita Líq;8426541;9588437;7537180;10571566;13271137
Var Receita Liq;0.131944621;0.137885284;-0.213930279;0.402589032;0.255361505
Lucro Bruto;5142024;5857916;4313610;6172388;7984814
Total despesas;3718203;4214262;3456731;5358444;6577413
EBIT;1423821;1643654;856879;813944;1407401
Mg EBIT;0.16896862;0.171420431;0.113686949;0.076993702;0.106049768
Deprec e Amort;314574;730091;791036;916070;1041025
Capex;610407;751428;543976;933963;1105271
Var Invest. Capex;0.109098904;0.231027822;-0.276077016;0.716919496;0.183420542
Capital de Giro;3247;3869;3789;5261;6659
Necessidade de Capital de Giro;363;-622;80;-1472;-1398
